ID,date,value,CO2,temp,outT,TSV,adapt_comf
84,2024-01-14 19:00:00,1.4,462.0,20.1,3.96,-0.6,0
85,2024-01-14 20:00:00,1.4,461.0,20.2,3.51,-0.5,0
86,2024-01-14 21:00:00,1.4,461.0,20.3,3.03,0.5,0
87,2024-01-14 22:00:00,1.4,459.0,20.4,2.74,0.3,0
88,2024-01-14 23:00:00,1.4,451.0,20.5,2.22,0.6,0
89,2024-01-15 00:00:00,1.4,447.0,20.5,1.51,0.6,0
90,2024-01-15 01:00:00,1.4,447.0,20.5,0.38,0.6,0
91,2024-01-15 02:00:00,1.4,447.0,20.5,-0.44,0.6,0
92,2024-01-15 03:00:00,0.19,447.0,20.5,-0.86,0.6,0
93,2024-01-15 15:00:00,1.0975000000000001,424.0,21.0,0.92,0.6,0
94,2024-01-15 19:00:00,3.02,454.0,19.7,-1.89,0.2,0
95,2024-01-15 20:00:00,2.03,454.0,19.9,-2.16,0.2,0
96,2024-01-15 21:00:00,1.91,454.0,20.2,-2.36,0.4,0
97,2024-01-15 22:00:00,1.5,468.0,20.2,-2.66,0.4,0
98,2024-01-15 23:00:00,1.5,483.0,20.2,-2.86,0.4,0
99,2024-01-16 00:00:00,1.5,478.0,20.2,-3.31,0.4,0
100,2024-01-16 01:00:00,1.5,469.0,20.2,-3.56,0.4,0
101,2024-01-16 02:00:00,1.5,467.0,20.2,-3.63,0.4,0
102,2024-01-16 03:00:00,1.5,469.0,20.1,-3.87,0.3,0
103,2024-01-16 04:00:00,1.5,474.0,20.1,-3.91,0.3,0
104,2024-01-16 05:00:00,1.5,480.0,19.8,-4.03,0.2,0
105,2024-01-16 06:00:00,0.83,486.0,19.3,-4.18,0.2,0
106,2024-01-16 15:00:00,1.3325000000000002,466.0,20.8,2.49,0.6,0
107,2024-01-16 17:00:00,3.16,473.0,19.9,0.49,0.2,0
108,2024-01-16 18:00:00,2.4,497.0,18.6,-0.29,0.2,0
109,2024-01-16 19:00:00,2.1,489.0,18.6,-1.07,0.2,0
110,2024-01-16 20:00:00,1.62,477.0,18.8,-1.14,0.2,0
111,2024-01-16 21:00:00,1.5,461.0,19.1,-1.16,0.2,0
112,2024-01-16 22:00:00,1.5,463.0,19.8,-1.4,0.2,0
113,2024-01-16 23:00:00,2.3,475.0,20.0,-1.49,0.3,0
114,2024-01-17 00:00:00,2.1,473.0,20.1,-1.73,0.3,0
115,2024-01-17 01:00:00,2.1,470.0,20.1,-1.63,0.3,0
116,2024-01-17 02:00:00,2.1,472.0,20.2,-1.28,0.4,0
117,2024-01-17 03:00:00,2.1,475.0,20.2,-1.23,0.4,0
118,2024-01-17 04:00:00,2.1,474.0,20.2,-1.42,0.4,0
119,2024-01-17 05:00:00,2.1,469.0,20.2,-1.79,0.4,0
120,2024-01-17 06:00:00,2.1,469.0,20.2,-2.4,0.4,0
121,2024-01-17 15:00:00,2.1,489.0,21.0,0.33,0.6,0
122,2024-01-17 18:00:00,2.1,565.0,19.2,-0.53,0.2,0
123,2024-01-17 19:00:00,2.4,566.0,19.8,-1.15,0.2,0
124,2024-01-17 20:00:00,2.4,528.0,20.2,-1.7,0.4,0
125,2024-01-17 21:00:00,2.4,486.0,20.3,-2.25,0.4,0
126,2024-01-17 22:00:00,1.96,577.0,20.5,-2.92,0.6,0
127,2024-01-17 23:00:00,1.9,509.0,21.2,-3.29,0.6,1
128,2024-01-18 00:00:00,1.9,524.0,21.0,-3.78,0.6,1
129,2024-01-18 01:00:00,1.9,511.0,21.1,-4.19,0.6,1
130,2024-01-18 02:00:00,1.9,525.0,21.1,-4.69,0.6,1
131,2024-01-18 03:00:00,1.9,483.0,20.9,-5.26,0.6,1
132,2024-01-18 04:00:00,1.9,458.0,20.7,-5.65,0.6,1
133,2024-01-18 05:00:00,1.9,447.0,20.2,-6.1,0.4,0
134,2024-01-18 06:00:00,1.9,443.0,19.2,-6.4,0.2,0
135,2024-01-18 15:00:00,1.9,432.0,19.8,0.6,0.2,0
136,2024-01-18 17:00:00,1.9,440.0,19.4,-0.37,0.2,0
137,2024-01-18 18:00:00,2.41,460.0,18.2,-1.03,0.2,0
138,2024-01-18 19:00:00,2.43,475.0,18.4,-1.43,0.2,0
139,2024-01-18 20:00:00,2.0,476.0,18.6,-1.95,0.2,0
140,2024-01-18 21:00:00,2.0,476.0,19.2,-2.26,0.2,0
141,2024-01-18 22:00:00,2.0,472.0,19.7,-2.57,0.2,0
142,2024-01-18 23:00:00,2.0,471.0,19.7,-2.33,0.2,0
143,2024-01-19 00:00:00,2.0,471.0,19.9,-2.25,0.2,0
144,2024-01-19 01:00:00,2.0,479.0,20.0,-2.86,0.3,0
145,2024-01-19 02:00:00,2.0,492.0,20.0,-3.05,0.3,0
146,2024-01-19 03:00:00,1.09,490.0,19.7,-3.54,0.2,0
147,2024-01-19 15:00:00,1.7725000000000004,459.0,20.4,-1.540122950819672,0.4,0
148,2024-01-19 16:00:00,2.92,464.0,19.6,-1.4901639344262294,0.2,0
149,2024-01-19 17:00:00,2.28,476.0,19.2,-1.4402049180327867,0.2,0
150,2024-01-19 18:00:00,1.97,515.0,18.2,-1.3902459016393443,0.2,0
151,2024-01-19 19:00:00,2.4,511.0,18.6,-1.3402868852459016,0.2,0
152,2024-01-19 20:00:00,2.4,496.0,18.7,-1.2903278688524589,0.2,0
153,2024-01-19 21:00:00,2.4,472.0,19.0,-1.2403688524590164,0.2,0
154,2024-01-19 22:00:00,2.4,463.0,19.4,-1.1904098360655737,0.2,0
155,2024-01-19 23:00:00,2.34,459.0,19.9,-1.140450819672131,0.2,0
156,2024-01-20 00:00:00,1.9,465.0,20.0,-1.0904918032786886,0.3,0
157,2024-01-20 01:00:00,1.9,468.0,19.9,-1.0405327868852459,0.2,0
158,2024-01-20 02:00:00,1.9,461.0,20.0,-0.9905737704918033,0.3,0
159,2024-01-20 03:00:00,1.9,465.0,20.0,-0.9406147540983606,0.3,0
160,2024-01-20 04:00:00,1.9,474.0,20.0,-0.890655737704918,0.3,0
161,2024-01-20 05:00:00,1.9,477.0,19.9,-0.8406967213114754,0.2,0
162,2024-01-20 06:00:00,1.9,474.0,19.9,-0.7907377049180327,0.2,0
163,2024-01-20 15:00:00,1.9,420.0,20.8,-0.3411065573770491,0.6,0
164,2024-01-20 17:00:00,0.27,441.0,19.3,-0.24118852459016393,0.2,0
165,2024-01-20 18:00:00,1.3566666666666667,465.0,19.7,-0.19122950819672124,0.2,0
166,2024-01-20 19:00:00,2.2,551.0,20.1,-0.14127049180327877,0.3,0
167,2024-01-20 20:00:00,1.27,529.0,20.2,-0.09131147540983608,0.4,0
168,2024-01-21 03:00:00,1.2466666666666668,440.0,20.4,0.2584016393442623,0.4,0
169,2024-01-21 04:00:00,2.16,441.0,20.4,0.308360655737705,0.4,0
170,2024-01-21 05:00:00,2.1,442.0,20.4,0.35831967213114746,0.4,0
171,2024-01-21 06:00:00,2.1,439.0,20.4,0.40827868852458993,0.4,0
172,2024-01-21 15:00:00,1.58,424.0,18.9,0.8579098360655739,0.2,0
173,2024-01-21 16:00:00,1.68,427.0,19.3,0.9078688524590164,0.2,0
