ID,date,value,CO2,temp,outT,TSV,adapt_comf
0,2024-07-01 01:00:00,2.1,445.0,22.4,14.7,0.7,0
1,2024-07-01 02:00:00,2.1,441.0,22.5,14.7,0.7,0
2,2024-07-01 03:00:00,2.1,442.0,22.4,14.3,0.7,0
3,2024-07-01 04:00:00,2.1,435.0,22.3,14.5,0.7,0
4,2024-07-01 05:00:00,2.1,433.0,22.2,14.2,0.7,0
5,2024-07-01 06:00:00,2.1,438.0,22.1,13.9,0.6,0
6,2024-07-01 07:00:00,1.91,449.0,22.1,14.0,0.6,0
7,2024-07-01 08:00:00,2.0524999999999998,451.0,22.1,14.6,0.7,0
8,2024-07-01 09:00:00,2.1,445.0,22.0,16.8,0.7,0
9,2024-07-01 10:00:00,2.16,441.0,22.0,16.8,0.7,0
10,2024-07-01 11:00:00,2.2,443.0,21.9,17.6,0.7,0
11,2024-07-01 12:00:00,2.36,441.0,21.8,17.7,0.7,1
12,2024-07-01 13:00:00,2.2,437.0,21.8,18.8,0.7,1
13,2024-07-01 14:00:00,2.39,434.0,21.7,18.8,0.7,1
14,2024-07-01 15:00:00,2.2,435.0,21.5,19.1,0.7,1
15,2024-07-01 16:00:00,2.41,441.0,21.5,19.2,0.7,1
16,2024-07-01 17:00:00,2.2,458.0,21.4,19.1,0.3,1
17,2024-07-01 18:00:00,2.2,467.0,21.5,18.7,0.7,1
18,2024-07-01 19:00:00,2.2,473.0,21.5,17.7,0.7,1
19,2024-07-01 20:00:00,2.2,459.0,21.5,17.0,0.7,0
20,2024-07-01 21:00:00,2.2,457.0,21.7,17.3,0.7,0
21,2024-07-01 22:00:00,2.2,458.0,21.8,17.4,0.7,0
22,2024-07-01 23:00:00,2.2,448.0,21.9,17.3,0.7,0
23,2024-07-02 00:00:00,2.2,449.0,22.1,16.9,0.7,0
24,2024-07-02 01:00:00,2.2,447.0,22.1,17.0,0.7,0
25,2024-07-02 02:00:00,2.2,451.0,22.1,16.8,0.7,0
26,2024-07-02 03:00:00,2.2,445.0,21.9,16.5,0.7,0
27,2024-07-02 04:00:00,2.2,442.0,21.7,15.0,0.7,0
28,2024-07-02 05:00:00,2.2,442.0,21.7,14.1,0.7,0
29,2024-07-02 06:00:00,2.2,443.0,21.7,13.3,0.6,0
30,2024-07-02 07:00:00,2.05,445.0,21.7,12.9,0.7,0
31,2024-07-02 08:00:00,2.94,442.0,21.7,12.7,0.8,0
32,2024-07-02 09:00:00,2.32,439.0,21.7,12.9,0.7,0
33,2024-07-02 10:00:00,2.1,436.0,21.7,13.1,0.7,0
34,2024-07-02 11:00:00,2.16,433.0,21.7,13.7,0.7,0
35,2024-07-02 13:00:00,2.15,436.0,21.4,14.3,0.3,0
36,2024-07-02 14:00:00,2.05,435.0,21.3,13.8,0.1,0
37,2024-07-02 15:00:00,2.26,442.0,21.1,15.0,0.2,1
38,2024-07-02 16:00:00,2.21,447.0,21.0,16.1,0.2,1
39,2024-07-02 17:00:00,1.9,455.0,20.9,18.0,0.3,1
40,2024-07-02 18:00:00,2.08,465.0,21.0,17.3,0.2,1
41,2024-07-02 19:00:00,1.79,494.0,21.1,17.6,0.2,1
42,2024-07-02 20:00:00,1.88,467.0,21.3,16.8,0.3,0
43,2024-07-02 21:00:00,1.9,456.0,21.4,16.8,0.3,0
44,2024-07-02 22:00:00,2.04,478.0,21.5,16.3,0.7,0
45,2024-07-02 23:00:00,1.8,461.0,21.5,16.1,0.7,0
46,2024-07-03 00:00:00,1.9,465.0,21.4,15.3,0.3,0
47,2024-07-03 01:00:00,1.94,464.0,21.4,15.0,0.3,0
48,2024-07-03 02:00:00,1.8,459.0,21.7,15.1,0.7,0
49,2024-07-03 03:00:00,1.8,463.0,21.8,15.1,0.7,0
50,2024-07-03 04:00:00,1.8,458.0,21.8,15.0,0.7,0
51,2024-07-03 05:00:00,1.8,465.0,21.8,14.4,0.7,0
52,2024-07-03 06:00:00,1.8,472.0,21.8,13.2,0.7,0
53,2024-07-03 07:00:00,1.82,465.0,21.6,13.2,0.7,0
54,2024-07-03 08:00:00,2.66,473.0,21.7,13.1,0.7,0
55,2024-07-03 09:00:00,2.07,476.0,21.7,12.6,0.8,0
56,2024-07-03 10:00:00,2.23,471.0,21.6,13.2,0.7,0
57,2024-07-03 11:00:00,2.36,465.0,21.6,14.5,0.7,0
58,2024-07-03 12:00:00,2.1,456.0,21.6,14.7,0.7,0
59,2024-07-03 13:00:00,2.21,458.0,21.6,15.6,0.7,0
60,2024-07-03 14:00:00,1.9,449.0,21.5,16.2,0.7,1
