ID,DATE,room,floor,indoor T,indoor RH,co2,outT,value,tsv,spmv
3183,2023-08-11 23:00:00+00:00,326.0,4.0,21.056,56.0,415.3333333333333,16.852,0.4424999999999999,-0.42,-1.0
3184,2023-08-12 00:00:00+00:00,326.0,4.0,20.944333333333333,56.333333333333336,411.6666666666667,15.592666666666668,0.3713333333333331,-0.46,-1.03
3185,2023-08-12 01:00:00+00:00,326.0,4.0,20.462666666666667,63.666666666666664,467.6666666666667,13.666666666666666,0.4649999999999999,-0.46,-1.14
3186,2023-08-12 02:00:00+00:00,326.0,4.0,20.425666666666668,62.0,474.6666666666667,13.222,0.4188333333333331,-0.46,-1.16
3187,2023-08-12 03:00:00+00:00,326.0,4.0,20.796333333333333,59.666666666666664,473.3333333333333,14.296333333333331,0.43083333333333335,-0.46,-1.06
3188,2023-08-12 04:00:00+00:00,326.0,4.0,20.925666666666668,59.666666666666664,472.6666666666667,15.240666666666668,0.3584999999999999,-0.46,-1.02
3189,2023-08-12 05:00:00+00:00,326.0,4.0,21.093,60.666666666666664,447.0,16.740666666666666,0.438,-0.4,-0.97
3190,2023-08-12 06:00:00+00:00,326.0,4.0,21.185333333333332,61.333333333333336,428.0,17.777666666666665,0.6118333333333332,-0.39,-0.94
3191,2023-08-12 07:00:00+00:00,326.0,4.0,20.703666666666667,63.0,433.0,18.426,0.4414999999999998,-0.46,-1.07
3192,2023-08-12 08:00:00+00:00,326.0,4.0,20.944,63.333333333333336,427.3333333333333,18.611333333333334,0.4858333333333332,-0.46,-1.0
3193,2023-08-12 09:00:00+00:00,326.0,4.0,20.925666666666668,63.666666666666664,429.0,18.944333333333333,0.4233333333333332,-0.46,-1.0
3194,2023-08-12 10:00:00+00:00,326.0,4.0,20.90733333333333,63.333333333333336,430.6666666666667,18.833333333333332,0.5588333333333332,-0.46,-1.01
3195,2023-08-12 11:00:00+00:00,326.0,4.0,20.90733333333333,64.0,431.3333333333333,18.944,0.6098333333333332,-0.46,-1.01
3196,2023-08-12 12:00:00+00:00,326.0,4.0,20.851666666666663,61.0,430.6666666666667,19.241,0.38699999999999984,-0.46,-1.04
3197,2023-08-12 13:00:00+00:00,326.0,4.0,20.833333333333332,58.0,431.0,19.518666666666665,0.3503333333333332,-0.46,-1.05
3198,2023-08-12 14:00:00+00:00,326.0,4.0,20.814666666666664,58.0,430.6666666666667,19.536666666666665,0.5591666666666666,-0.46,-1.06
3199,2023-08-12 15:00:00+00:00,326.0,4.0,20.814999999999998,60.666666666666664,429.3333333333333,19.444333333333333,0.6141666666666665,-0.46,-1.05
3200,2023-08-12 16:00:00+00:00,326.0,4.0,20.833333333333332,61.333333333333336,431.6666666666667,19.018333333333334,0.4246666666666666,-0.46,-1.04
3201,2023-08-12 17:00:00+00:00,326.0,4.0,20.852,63.0,433.6666666666667,18.444333333333333,0.4886666666666666,-0.46,-1.03
3202,2023-08-12 18:00:00+00:00,326.0,4.0,20.814999999999998,64.33333333333333,431.6666666666667,17.833333333333332,0.3744999999999999,-0.46,-1.03
3203,2023-08-12 19:00:00+00:00,326.0,4.0,21.092333333333332,58.666666666666664,431.0,17.759333333333334,0.46749999999999997,-0.4,-0.97
3204,2023-08-12 20:00:00+00:00,326.0,4.0,21.500333333333334,56.333333333333336,424.3333333333333,17.814999999999998,0.4468333333333332,-0.95,-0.86
3205,2023-08-12 21:00:00+00:00,326.0,4.0,21.333333333333332,56.666666666666664,420.3333333333333,17.62966666666667,0.5225,-0.51,-0.91
3206,2023-08-12 22:00:00+00:00,326.0,4.0,21.203666666666667,57.0,418.0,17.129666666666665,0.3818333333333332,-0.39,-0.95
3207,2023-08-12 23:00:00+00:00,326.0,4.0,21.222333333333335,57.0,416.3333333333333,16.351666666666663,0.4046666666666667,-0.39,-0.94
3208,2023-08-13 00:00:00+00:00,326.0,4.0,21.185333333333336,57.0,413.0,15.963,0.4106666666666665,-0.39,-0.95
3209,2023-08-13 01:00:00+00:00,326.0,4.0,21.055666666666667,64.66666666666667,427.92929524508236,14.110999999999999,0.4776666666666665,-0.42,-0.96
3210,2023-08-13 02:00:00+00:00,326.0,4.0,20.574,63.333333333333336,420.8939428676235,13.277666666666667,0.3926666666666665,-0.46,-1.11
3211,2023-08-13 03:00:00+00:00,326.0,4.0,20.685000000000002,61.333333333333336,420.8939428676235,13.981666666666667,0.4064999999999999,-0.46,-1.08
3212,2023-08-13 04:00:00+00:00,326.0,4.0,20.925666666666668,59.0,455.63131428920786,15.185333333333332,0.5446666666666664,-0.46,-1.02
3213,2023-08-13 05:00:00+00:00,326.0,4.0,21.0,59.0,459.0,16.481333333333335,0.4864999999999999,-0.46,-1.0
3214,2023-08-13 06:00:00+00:00,326.0,4.0,21.092666666666666,59.0,437.0,17.981666666666666,0.3478333333333332,-0.4,-0.97
3215,2023-08-13 07:00:00+00:00,326.0,4.0,20.925666666666668,59.333333333333336,433.6666666666667,18.944333333333333,0.7068333333333333,-0.46,-1.02
3216,2023-08-13 08:00:00+00:00,326.0,4.0,20.889,59.333333333333336,430.0,19.870333333333335,0.4698333333333331,-0.46,-1.03
3217,2023-08-13 09:00:00+00:00,326.0,4.0,20.740666666666666,58.0,430.3333333333333,20.111,0.4238333333333333,-0.46,-1.08
3218,2023-08-13 10:00:00+00:00,326.0,4.0,20.62966666666667,58.666666666666664,430.6666666666667,20.555666666666667,0.4466666666666666,-0.46,-1.11
3219,2023-08-13 11:00:00+00:00,326.0,4.0,20.685333333333336,56.666666666666664,428.6666666666667,20.907333333333334,0.5225,-0.46,-1.1
3220,2023-08-13 12:00:00+00:00,326.0,4.0,20.740666666666666,57.0,426.0,20.87066666666667,0.634,-0.46,-1.09
3221,2023-08-13 13:00:00+00:00,326.0,4.0,20.703666666666667,57.333333333333336,425.6666666666667,21.592333333333332,0.39099999999999985,-0.46,-1.1
3222,2023-08-13 14:00:00+00:00,326.0,4.0,20.685333333333336,58.0,427.0,21.852,0.5241666666666667,-0.46,-1.1
3223,2023-08-13 15:00:00+00:00,326.0,4.0,20.62966666666667,59.333333333333336,427.6666666666667,21.722333333333335,0.5743333333333333,-0.46,-1.11
3224,2023-08-13 16:00:00+00:00,326.0,4.0,20.648333333333337,61.0,428.0,21.277666666666665,0.4001666666666665,-0.46,-1.1
3225,2023-08-13 17:00:00+00:00,326.0,4.0,20.666666666666668,63.0,428.0,20.241,0.6359999999999999,-0.46,-1.08
3226,2023-08-13 18:00:00+00:00,326.0,4.0,20.777666666666665,68.0,428.3333333333333,19.722333333333335,0.4576666666666666,-0.46,-1.03
3227,2023-08-13 19:00:00+00:00,326.0,4.0,21.018666666666665,62.0,425.3333333333333,19.777666666666665,0.5028333333333332,-0.46,-0.98
3228,2023-08-13 20:00:00+00:00,326.0,4.0,21.389,58.666666666666664,420.0,19.740666666666666,0.4508333333333332,-0.64,-0.89
3229,2023-08-13 21:00:00+00:00,326.0,4.0,21.555666666666667,57.666666666666664,417.0,19.574333333333332,0.6049999999999999,-0.95,-0.84
3230,2023-08-13 22:00:00+00:00,326.0,4.0,21.611333333333334,57.0,415.0,19.481666666666666,0.4383333333333332,-0.95,-0.83
3231,2023-08-13 23:00:00+00:00,326.0,4.0,21.666666666666668,57.0,413.3333333333333,19.0,0.4164999999999998,-0.95,-0.81
