ID,date,indoor T,TSV,outdoorT,hour,day_of_week,value
318,2024-02-15 23:00:00,20.317500591278,0.7910447761194029,12.8,23,3,-0.1
319,2024-02-16 00:00:00,20.1900005340576,0.8059701492537313,12.6,0,4,-0.1
320,2024-02-16 01:00:00,20.7875003814697,0.8208955223880597,12.6,1,4,-0.1
321,2024-02-16 02:00:00,21.2199993133544,0.835820895522388,12.7,2,4,-0.1
322,2024-02-16 03:00:00,21.2199993133544,0.8507462686567164,12.6,3,4,-0.1
323,2024-02-16 04:00:00,21.2199993133544,0.8656716417910447,12.3,4,4,-0.1
324,2024-02-16 05:00:00,21.1766661008199,0.8805970149253731,12.1,5,4,-0.1
325,2024-02-16 06:00:00,21.1766661008199,0.8955223880597015,11.7,6,4,-0.1
326,2024-02-16 07:00:00,21.2199993133544,0.9104477611940298,11.0,7,4,-0.1
327,2024-02-16 08:00:00,21.2199993133544,0.9253731343283582,10.6,8,4,1.63
328,2024-02-16 09:00:00,21.2199993133544,0.9402985074626864,9.43,9,4,-0.3
329,2024-02-16 10:00:00,21.2199993133544,0.9552238805970148,9.91,10,4,-0.3
330,2024-02-16 11:00:00,21.2199993133544,0.9701492537313432,10.2,11,4,-0.3
331,2024-02-16 12:00:00,21.2199993133544,0.9850746268656716,11.2,12,4,-0.3
332,2024-02-16 13:00:00,21.2199993133544,1.0,12.3,13,4,-0.3
333,2024-02-16 14:00:00,21.2199993133544,1.0,12.1,14,4,-0.3
334,2024-02-16 15:00:00,21.2199993133544,0.5,11.9,15,4,-0.3
335,2024-02-16 16:00:00,21.2199993133544,0.0,11.3,16,4,-0.3
336,2024-02-16 17:00:00,21.2199993133544,0.0,10.7,17,4,-0.3
337,2024-02-16 18:00:00,21.2199993133544,0.0,10.4,18,4,-0.3
338,2024-02-16 19:00:00,21.2199993133544,0.0,10.2,19,4,-0.3
339,2024-02-16 20:00:00,21.2199993133544,0.0,10.1,20,4,-0.3
340,2024-02-16 21:00:00,21.2199993133544,0.0,9.8,21,4,-0.3
341,2024-02-16 22:00:00,20.875,0.0,10.1,22,4,-0.3
342,2024-02-16 23:00:00,20.0600004196167,0.0,9.99,23,4,-0.3
343,2024-02-17 00:00:00,19.8000001907348,0.0,10.5,0,5,-0.3
344,2024-02-17 01:00:00,20.5725007057189,0.0,10.4,1,5,-0.3
345,2024-02-17 02:00:00,20.7000007629394,0.0,10.3,2,5,-0.3
346,2024-02-17 03:00:00,20.7000007629394,0.0,10.1,3,5,-0.3
347,2024-02-17 04:00:00,20.7000007629394,0.0,9.62,4,5,-0.3
348,2024-02-17 05:00:00,20.7000007629394,0.0,9.72,5,5,-0.3
349,2024-02-17 06:00:00,20.7000007629394,0.0,9.67,6,5,-0.3
350,2024-02-17 07:00:00,20.7000007629394,0.0,9.71,7,5,-0.3
351,2024-02-17 08:00:00,20.7000007629394,0.0,9.66,8,5,2.91
352,2024-02-18 08:00:00,20.7000007629394,0.0,10.0,8,6,3.51
353,2024-02-19 08:00:00,20.7000007629394,0.0,7.97,8,0,1.62
