ID,index,DATE,room,floor,indoor T,indoor RH,co2,outT,value,tsv,spmv
0,0,2023-04-01 00:00:00+00:00,380.0,2.0,20.9,14.0,414.0,-3.0,0.2,0.0,-0.12
1,1,2023-04-01 01:00:00+00:00,380.0,2.0,21.3,12.5,415.5,-5.3,0.2,0.8,-0.06
2,2,2023-04-01 02:00:00+00:00,380.0,2.0,21.3,11.0,414.7,-5.8,0.2,0.9,-0.07
3,3,2023-04-01 03:00:00+00:00,380.0,2.0,21.4,10.3,417.5,-6.0,0.2,0.4,-0.05
4,4,2023-04-01 04:00:00+00:00,380.0,2.0,21.4,10.0,416.2,-6.0,0.2,0.4,-0.05
5,5,2023-04-01 05:00:00+00:00,380.0,2.0,21.4,10.0,419.2,-5.0,0.2,0.2,-0.05
6,6,2023-04-01 06:00:00+00:00,380.0,2.0,21.4,10.0,417.5,-3.0,0.2,0.1,-0.05
7,7,2023-04-01 07:00:00+00:00,380.0,2.0,21.4,10.3,416.5,-1.1,0.2,0.1,-0.05
8,8,2023-04-01 08:00:00+00:00,380.0,2.0,21.3,10.0,420.0,0.8,0.3,0.2,-0.07
9,9,2023-04-01 09:00:00+00:00,380.0,2.0,21.3,10.5,418.3,1.8,0.2,0.1,-0.07
10,10,2023-04-01 10:00:00+00:00,380.0,2.0,21.3,11.2,419.3,2.6,0.2,0.1,-0.07
11,11,2023-04-01 11:00:00+00:00,380.0,2.0,21.5,12.7,417.5,3.2,0.2,-1.0,-0.04
12,12,2023-04-01 12:00:00+00:00,380.0,2.0,21.3,12.0,416.0,3.5,0.2,0.4,-0.07
13,13,2023-04-01 13:00:00+00:00,380.0,2.0,21.2,12.2,417.8,3.6,0.2,0.2,-0.08
14,14,2023-04-01 14:00:00+00:00,380.0,2.0,21.3,12.2,419.2,3.5,0.2,0.4,-0.06
15,15,2023-04-01 15:00:00+00:00,380.0,2.0,21.3,12.2,419.3,3.4,0.2,0.4,-0.06
16,16,2023-04-01 16:00:00+00:00,380.0,2.0,21.4,12.0,414.7,2.7,0.2,-0.6,-0.05
17,17,2023-04-01 17:00:00+00:00,380.0,2.0,21.4,11.8,414.8,1.9,0.2,-0.6,-0.05
18,18,2023-04-01 18:00:00+00:00,380.0,2.0,21.4,11.3,414.8,1.1,0.2,-0.6,-0.05
19,19,2023-04-01 19:00:00+00:00,380.0,2.0,20.9,11.7,418.8,1.2,0.2,0.2,-0.12
20,20,2023-04-01 20:00:00+00:00,380.0,2.0,20.8,12.0,422.3,0.9,0.3,0.3,-0.13
21,21,2023-04-01 21:00:00+00:00,380.0,2.0,20.8,12.0,419.5,0.5,0.2,0.6,-0.13
22,22,2023-04-01 22:00:00+00:00,380.0,2.0,20.8,13.0,412.7,0.1,0.2,0.1,-0.13
23,23,2023-04-01 23:00:00+00:00,380.0,2.0,20.9,13.0,410.7,-0.3,0.2,0.1,-0.12
24,24,2023-04-02 00:00:00+00:00,380.0,2.0,20.9,13.0,409.3,-0.7,0.2,0.1,-0.12
25,25,2023-04-02 01:00:00+00:00,380.0,2.0,21.4,12.7,408.3,-2.9,0.2,0.0,-0.05
26,26,2023-04-02 02:00:00+00:00,380.0,2.0,21.7,12.0,406.5,-3.5,0.2,0.0,-0.01
27,27,2023-04-02 03:00:00+00:00,380.0,2.0,21.6,12.2,408.3,-3.9,0.2,0.1,-0.02
28,28,2023-04-02 04:00:00+00:00,380.0,2.0,21.5,12.5,410.5,-3.8,0.2,0.0,-0.04
29,29,2023-04-02 05:00:00+00:00,380.0,2.0,21.5,12.5,412.5,-3.3,0.2,-0.0,-0.04
30,30,2023-04-02 06:00:00+00:00,380.0,2.0,21.5,12.7,413.5,-2.2,0.2,-0.1,-0.04
31,31,2023-04-02 07:00:00+00:00,380.0,2.0,21.5,12.8,414.7,-1.0,0.2,-0.1,-0.04
32,32,2023-04-02 08:00:00+00:00,380.0,2.0,21.5,12.5,415.0,0.4,0.2,-0.1,-0.04
