ID,index,DATE,room,floor,indoor T,indoor RH,co2,outT,value,tsv,spmv
0,0,2023-04-01 00:00:00+00:00,375.0,2.0,22.5,16.0,408.7,-3.0,0.2,-0.7,0.1
1,1,2023-04-01 01:00:00+00:00,375.0,2.0,22.3,15.0,422.3,-5.3,0.2,-0.6,0.08
2,2,2023-04-01 02:00:00+00:00,375.0,2.0,22.2,15.0,437.3,-5.8,0.2,-0.5,0.06
3,3,2023-04-01 03:00:00+00:00,375.0,2.0,22.0,14.3,441.0,-6.0,0.2,0.1,0.03
4,4,2023-04-01 04:00:00+00:00,375.0,2.0,22.0,14.0,442.7,-6.0,0.2,0.1,0.03
5,5,2023-04-01 05:00:00+00:00,375.0,2.0,22.0,14.0,444.8,-5.0,0.2,0.0,0.03
6,6,2023-04-01 06:00:00+00:00,375.0,2.0,22.0,13.8,443.8,-3.0,0.2,-0.0,0.03
7,7,2023-04-01 07:00:00+00:00,375.0,2.0,22.0,13.8,442.3,-1.1,0.2,-0.0,0.03
8,8,2023-04-01 08:00:00+00:00,375.0,2.0,22.0,14.0,440.5,0.8,0.3,-0.8,0.03
9,9,2023-04-01 09:00:00+00:00,375.0,2.0,22.0,14.0,439.0,1.8,0.2,-0.9,0.03
10,10,2023-04-01 10:00:00+00:00,375.0,2.0,22.1,14.0,438.5,2.6,0.2,-1.5,0.05
11,11,2023-04-01 11:00:00+00:00,375.0,2.0,22.1,14.0,438.5,3.2,0.2,-1.5,0.05
12,12,2023-04-01 12:00:00+00:00,375.0,2.0,22.1,14.0,438.0,3.5,0.2,-1.5,0.05
13,13,2023-04-01 13:00:00+00:00,375.0,2.0,22.2,14.0,437.8,3.6,0.2,-1.6,0.06
14,14,2023-04-01 14:00:00+00:00,375.0,2.0,22.1,14.0,439.0,3.5,0.2,-1.5,0.05
15,15,2023-04-01 15:00:00+00:00,375.0,2.0,22.1,14.0,439.5,3.4,0.2,-1.5,0.05
16,16,2023-04-01 16:00:00+00:00,375.0,2.0,22.1,14.0,439.8,2.7,0.2,-1.5,0.05
17,17,2023-04-01 17:00:00+00:00,375.0,2.0,22.1,14.0,440.5,1.9,0.2,-1.6,0.05
18,18,2023-04-01 18:00:00+00:00,375.0,2.0,22.0,14.0,440.5,1.1,0.2,-0.8,0.03
19,19,2023-04-01 19:00:00+00:00,375.0,2.0,22.2,13.5,423.7,1.2,0.2,-0.3,0.06
20,20,2023-04-01 20:00:00+00:00,375.0,2.0,22.6,14.0,417.8,0.9,0.3,-0.2,0.12
21,21,2023-04-01 21:00:00+00:00,375.0,2.0,22.6,14.0,413.0,0.5,0.2,-0.3,0.12
22,22,2023-04-01 22:00:00+00:00,375.0,2.0,22.6,14.5,411.2,0.1,0.2,-0.1,0.12
23,23,2023-04-01 23:00:00+00:00,375.0,2.0,22.7,15.0,410.2,-0.3,0.2,-0.9,0.13
24,24,2023-04-02 00:00:00+00:00,375.0,2.0,22.5,15.0,409.2,-0.7,0.2,-0.8,0.1
25,25,2023-04-02 01:00:00+00:00,375.0,2.0,22.4,14.2,422.7,-2.9,0.2,0.2,0.09
26,26,2023-04-02 02:00:00+00:00,375.0,2.0,22.1,14.0,439.7,-3.5,0.2,0.1,0.05
27,27,2023-04-02 03:00:00+00:00,375.0,2.0,22.0,14.0,442.2,-3.9,0.2,0.0,0.03
28,28,2023-04-02 04:00:00+00:00,375.0,2.0,21.9,13.3,443.8,-3.8,0.2,-0.0,0.02
29,29,2023-04-02 05:00:00+00:00,375.0,2.0,21.9,13.0,445.8,-3.3,0.2,-0.0,0.02
30,30,2023-04-02 06:00:00+00:00,375.0,2.0,21.9,13.0,446.2,-2.2,0.2,-0.1,0.02
31,31,2023-04-02 07:00:00+00:00,375.0,2.0,22.0,13.0,445.5,-1.0,0.2,-0.0,0.03
32,32,2023-04-02 08:00:00+00:00,375.0,2.0,22.0,13.3,445.0,0.4,0.2,-0.1,0.03
33,33,2023-04-02 09:00:00+00:00,375.0,2.0,22.0,13.0,444.7,0.9,0.3,-0.8,0.03
34,34,2023-04-02 10:00:00+00:00,375.0,2.0,22.0,13.0,444.7,1.1,0.4,-0.8,0.03
35,35,2023-04-02 11:00:00+00:00,375.0,2.0,22.1,13.0,444.8,1.4,0.3,-0.3,0.05
36,36,2023-04-02 12:00:00+00:00,375.0,2.0,22.0,13.0,444.5,1.4,0.2,-0.8,0.03
37,37,2023-04-02 13:00:00+00:00,375.0,2.0,22.1,13.0,445.0,1.6,0.2,-0.5,0.05
38,38,2023-04-02 14:00:00+00:00,375.0,2.0,22.1,13.0,444.7,2.0,0.2,-1.6,0.05
39,39,2023-04-02 15:00:00+00:00,375.0,2.0,22.0,13.0,445.2,2.0,0.2,-0.9,0.03
40,40,2023-04-02 16:00:00+00:00,375.0,2.0,22.0,13.0,446.0,1.7,0.2,-0.9,0.03
41,41,2023-04-02 17:00:00+00:00,375.0,2.0,22.0,13.0,446.8,1.2,0.2,-0.8,0.03
42,42,2023-04-02 18:00:00+00:00,375.0,2.0,22.0,13.0,447.7,0.6,0.2,-0.6,0.03
43,43,2023-04-02 19:00:00+00:00,375.0,2.0,22.2,13.0,430.2,0.7,0.2,-0.3,0.06
44,44,2023-04-02 20:00:00+00:00,375.0,2.0,22.6,13.0,424.0,0.6,0.2,-0.3,0.12
45,45,2023-04-02 21:00:00+00:00,375.0,2.0,22.5,13.5,418.5,0.3,0.2,-0.0,0.1
46,46,2023-04-02 22:00:00+00:00,375.0,2.0,22.6,14.0,417.5,-0.1,0.2,0.1,0.12
47,47,2023-04-02 23:00:00+00:00,375.0,2.0,22.6,14.0,417.5,-0.4,0.2,0.1,0.12
48,48,2023-04-03 00:00:00+00:00,375.0,2.0,22.6,14.0,417.3,-0.9,0.2,0.0,0.12
49,49,2023-04-03 01:00:00+00:00,375.0,2.0,22.4,14.0,430.5,-2.9,0.2,0.3,0.09
50,50,2023-04-03 02:00:00+00:00,375.0,2.0,22.2,14.0,438.0,-3.3,0.2,0.1,0.06
51,51,2023-04-03 03:00:00+00:00,375.0,2.0,22.0,14.0,440.8,-3.8,0.4,0.0,0.03
52,52,2023-04-03 04:00:00+00:00,375.0,2.0,22.0,14.0,448.8,-3.8,0.7,0.0,0.03
53,53,2023-04-03 05:00:00+00:00,375.0,2.0,22.0,13.8,453.5,-3.4,0.8,0.0,0.03
54,54,2023-04-03 06:00:00+00:00,375.0,2.0,22.1,13.2,460.2,-2.4,0.9,0.0,0.05
55,55,2023-04-03 07:00:00+00:00,375.0,2.0,22.1,13.0,457.8,-1.7,0.9,0.0,0.05
56,56,2023-04-03 08:00:00+00:00,375.0,2.0,22.4,13.0,478.8,-0.9,1.0,0.0,0.09
57,57,2023-04-03 09:00:00+00:00,375.0,2.0,22.2,12.7,494.3,-0.2,1.0,0.0,0.06
58,58,2023-04-03 10:00:00+00:00,375.0,2.0,22.2,12.3,471.7,0.2,0.9,-0.0,0.06
