DateTime,payload,env_temp,env_rh,sound_leqa,light0_lux,co2_co2,comfort,Temperature_out,minute_sin,minute_cos,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos
2023-02-10 00:00:00+00:00,,21.600000381469727,23.20000076293945,52.73666687011719,0.0,453.73999999999995,3.0,0.75,0.0,1.0,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:05:00+00:00,0.7196533203132276,21.600000381469727,23.20000076293945,52.741333465576176,0.0,456.64666666666665,3.0,0.6749999999999999,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:10:00+00:00,1.0234960937523283,21.600000381469727,23.20000076293945,52.75533325195313,0.0,457.6933333333333,3.0,0.55,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:15:00+00:00,0.9410546874969441,21.600000381469727,23.20000076293945,52.76066650390626,0.0,456.34666666666664,3.0,0.5,1.0,2.83276944882399e-16,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:20:00+00:00,0.9244873046882276,21.589333674112957,23.20000076293945,52.791999409993494,0.0,453.1133333333334,3.0,0.5,0.8660254037844387,-0.4999999999999998,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:25:00+00:00,1.1209228515617724,21.545333506266278,23.20000076293945,52.79999936421713,0.0,450.4200000000001,3.0,0.5,0.49999999999999994,-0.8660254037844387,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:30:00+00:00,1.181831054687791,21.50333334604899,23.201334075927736,52.8013326772054,0.0,451.32,3.0,0.5,5.66553889764798e-16,-1.0,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:35:00+00:00,1.0995654296893917,21.5020000076294,23.20200073242188,52.80733273824056,0.0,454.4,3.0,0.5,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:40:00+00:00,1.0764501953126455,21.5,23.20000076293945,52.83466669718424,0.0,458.1933333333333,3.0,0.5,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:45:00+00:00,1.1539697265616269,21.5,23.20000076293945,52.87600092569986,0.0,456.58000000000004,3.0,0.5,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:50:00+00:00,1.1779199218726717,21.5,23.216000518798825,52.89400126139323,0.0,454.88,3.0,0.5,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 00:55:00+00:00,1.143906250003056,21.5,23.226667022705076,52.89866803487141,0.0,454.36,3.0,0.5,-0.49999999999999967,0.8660254037844388,0.0,1.0,-0.433883739117558,-0.9009688679024191
2023-02-10 01:00:00+00:00,1.1327685546893917,21.5,23.20400070190429,52.89933471679687,0.0,452.59333333333325,3.0,0.5,0.0,1.0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:05:00+00:00,1.1363720703084255,21.5,23.20000076293945,52.90733474731445,0.0,453.4,3.0,0.425,0.49999999999999994,0.8660254037844387,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:10:00+00:00,1.138510742192011,21.49333330790202,23.228000335693356,52.92000122070313,0.0,455.9466666666667,3.0,0.3,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:15:00+00:00,1.1553857421858993,21.455333162943525,23.276666259765623,52.938000946044916,0.0,459.76000000000005,3.0,0.25,1.0,2.83276944882399e-16,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:20:00+00:00,1.1598632812492724,21.407999649047852,23.287999420166013,52.93400100708008,0.0,461.8666666666668,3.0,0.25,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:25:00+00:00,1.1392089843757276,21.399999618530273,23.272666320800784,52.91666793823242,0.0,462.4,3.0,0.325,0.49999999999999994,-0.8660254037844387,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:30:00+00:00,1.133979492184153,21.399999618530273,23.22800033569336,52.94000091552734,0.0,462.34000000000003,3.0,0.45,5.66553889764798e-16,-1.0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:35:00+00:00,1.1637744140643917,21.399999618530273,23.20000076293945,52.94800079345703,0.0,459.6,3.0,0.425,-0.4999999999999997,-0.8660254037844388,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:40:00+00:00,1.1712646484375,21.399999618530273,23.20000076293945,52.938000946044916,0.0,458.20666666666665,3.0,0.3,-0.8660254037844384,-0.5000000000000004,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:45:00+00:00,1.1273193359375,21.399999618530273,23.20000076293945,52.95000076293945,0.0,457.7666666666667,3.0,0.17500000000000002,-1.0,-1.8369701987210297e-16,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:50:00+00:00,1.1150830078113358,21.399999618530273,23.20000076293945,52.95133407592774,0.0,456.36,3.0,0.04999999999999999,-0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 01:55:00+00:00,1.158500976562209,21.399999618530273,23.20000076293945,52.961333923339836,0.0,456.71999999999997,3.0,-0.075,-0.49999999999999967,0.8660254037844388,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2023-02-10 02:00:00+00:00,1.1729736328125,21.399999618530273,23.20000076293945,52.98266693115234,0.0,456.84,3.0,-0.2,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:05:00+00:00,1.1729736328125,21.399999618530273,23.20000076293945,52.97666702270508,0.0,456.40666666666675,3.0,-0.25,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:10:00+00:00,1.172905273440847,21.399999618530273,23.20000076293945,52.95466740926106,0.0,459.5466666666665,3.0,-0.25,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:15:00+00:00,1.1716748046856083,21.399999618530273,23.20000076293945,52.978667068481435,0.0,460.5799999999999,3.0,-0.25,1.0,2.83276944882399e-16,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:20:00+00:00,1.1726904296883731,21.399999618530273,23.20000076293945,52.983333587646484,0.0,460.9666666666667,3.0,-0.25,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:25:00+00:00,1.1983544921858993,21.399999618530273,23.22533370971679,52.94066757202148,0.0,460.14000000000004,3.0,-0.25,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:30:00+00:00,1.2068188476550858,21.399999618530273,23.277999572753906,52.9080014038086,0.0,458.92666666666673,3.0,-0.25,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-02-10 02:35:00+00:00,1.205192871097097,21.399999618530273,23.29999923706055,52.93666763305664,0.0,457.51333333333343,3.0,-0.325,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
